순번,대학명,웹사이트,언어권,국가,학제,파견인원-TO,파견인원-비고,파견기간,국적 제한,파견 직전학기 본교 휴학가능 여부,GPA,만점 기준,TOEFL IBT,IELTS Academic,TOEFL ITP,지원자격-기타,지원자격-비고,수강제한학과,타학과 수강가능여부,"영어수업
제공여부",수업-참고링크,수업-비고,On-campus 기숙사,Off-campus 기숙사,accomodation-Others,월 예상경비(USD),Nomination,Application
1,GE3(Global Engineering Education Exchange),http://globale3.studioabroad.com/,기타,-,프로그램별 상이,7,,1년 or 한 학기,제한없음,-,대학별 기준 상이,-,75,6,-,-,지원하는 대학의 어학 성적 기준을 반드시 충족해야 함,주전공이 공학관련인 학생만 지원 가능 (건축 관련 학과는 지원 불가),-,O,"https://globale3.studioabroad.com/index.cfm?FuseAction=Programs.AdvancedSearch

http://globale3.studioabroad.com/index.cfm?FuseAction=Abroad.ViewLink&Parent_ID=0&Link_ID=B1ABB52C-BCDE-E7F3-504B2792AEA64BD8",-,-,-,프로그램별 상이,프로그램별 상이,2022-03-01,2022-03-01
2,ISEP(International Student Exchange Programs),"Find a program that's right for you on our program search: https://search.isepstudyabroad.org/FindAProgram/Map 
or connect with us so you can speak with your ISEP Student Advisor: https://www.isepstudyabroad.org/connect-with-isep

https://www.isepstudyabroad.org/guides-tips/get-started/select-a-program-type/isep-exchange

지원대학에 대학 Placement chance 관련: 
위 링크 내 Chances of Placement 섹션 확인 요망",기타,-,프로그램별 상이,5,,1년 or 한 학기,제한없음,-,대학별 기준 상이,-,75,6,-,-,"ITP 지원불가(향후 대학 선택 시 ITP성적으로 영어권 지원할 경우 파견 취소 예정)
영국 1년 파견 희망자의 경우 IELTS 성적으로만 지원 가능함에 유의

위 지원 자격을 갖추었을 경우 각각의 프로그램에 지원 가능하나, 각 대학마다 명시하고 있는 영어 지원 자격이 다르므로 반드시 희망 대학의 Directory 페이지에서 지원 자격을 확인 후 지원할 것 (본교 내 절차에서 합격하였어도 지원대학의 입학 기준을 만족하지 못한다면 향후 불합격 됨)

어학 자격으로 LPR(Language Proficiency Report )을 요구하는 대학의 경우 어학 실력을 입증해 줄수 있는 교원을 섭외하여야 함에 유의
-> 지원 과정에서 해당 교원의 기본정보(성명, 소속, 직위, 이메일 주소 등)입력 시 해당 교원에게 이메일로 어학 실력 확인 요청 포멧이 전달됨
*확인방법: 옆 링크 클릭 후 나오는 대학 리스트에서 각 대학명 클릭> Academics > Langauge Notes 확인 ","지원 가능대학 확인 : 
https://search.isepstudyabroad.org/FindAProgram/Map
위 링크 클릭 후 Home university를 'Hanyang University'로 설정 후 필터 조정 후 확인 (2022년, 가을학기, 지역 및 언어 등 설정 후 ""Apply Filters""클릭)",-,O,https://search.isepstudyabroad.org/FindAProgram/Map,-,-,-,프로그램별 제공 형태 상이,"Hanyang sets outbound housing fees according to the tuition, room and meal exchange agreement.
$100 application fee, $395 acceptance fee, $95/full month ISEP insurance. All other fees are either required by the state -- visa fees or local insurance requirements, for example -- or optional.",2022-03-01,2022-03-01
3,University of Twente,www.utwente.nl/en/,유럽,네덜란드,Semester,2,-,1년 or 한 학기,제한없음,예,2.5,4.5,80,6.0(섹션별 6 이상),550,-,-,"All study programmes are offered within one of the following faculties:
   BMS - Behavioural, Management & Social Sciences
   EEMCS - Electrical Engineering, Mathematics & Computer Science
   ET - Engineering Technology
   ITC - Geo-information Science and Earth Observation
   S&T - Science & Technology ",가능,O,https://www.utwente.nl/en/education/exchange-students/programmes/,"BSc students have to choose at least 1 module (15 ECTS credits) within the faculty of the exchange agreement (ask your exchange coordinator at home!). MSc students have to choose at least 60% of the courses within the faculty of the exchange agreement. Alternatively, you can choose one or two interdisciplinary package(s).",X,X,https://www.utwente.nl/en/campus/facilities/housing/,https://www.utwente.nl/en/education/student-services/step-by-step/step-by-step-guide/cost-of-living/,2022-04-15,2022-05-01
4,Amsterdam University of Applied Sciences,https://www.amsterdamuas.com/education/exchange/exchange-programmes/media-information-and-communication/media-information-and-communication.html?origin=YpwKtZ2fQSu1LxhVLTFOOg,유럽,네덜란드,Semester,1,College of Communication and Social Sciences-COCB,1년 or 한 학기,제한없음,예,2.5,4.5,80,6.0,-,-,-,College of Communication and Social Sciences-COCB 수업만 가능,불가,O,https://www.amsterdamuas.com/education/exchange/exchange-programmes/media-information-and-communication/media-information-and-communication.html?origin=YpwKtZ2fQSu1LxhVLTFOOg,Each minor of 30 EC is a fixed one-semester study programme (5 months = 30 EC).,X,O,-,1500,2022-04-01,2022-04-17
5,Amsterdam University of Applied Sciences,https://www.amsterdamuas.com/education/exchange/exchange-programmes/business-and-economics/business-and-economics.html?origin=YpwKtZ2fQSu1LxhVLTFOOg,유럽,네덜란드,Semester,3,Faculty of Business and Economics,1년 or 한 학기,제한없음,예,2.5,4.5,80,6.0,-,-,-,Faculty of Business and Economics 수업만 가능,불가,O,"https://exchangecoursecatalogue.amsterdamuas.com/programlist/%7B%22studiejaar%22:%222020-2021%22,%22Faculty%22:%5B%22Business%20and%20Economics%22%5D%7D?_ga=2.107051527.469728403.1638438959-1244612858.1558283609",All courses available to exchange are taught in English and at undergraduate/bachelor level. The exchange programme is aimed at students in their 3rd or 4th academic year. Some courses require or advice students to have some prior knowledge in the subject before you can study them.  For all students it is advisable to have passed a course on cross cultural issues or related courses.,X,O,-,https://www.amsterdamuas.com/practical-matters/prospective-students/auas/student-affairs/financial-matters/cost-of-living/cost-of-living.html,2022-04-15,2022-04-25
6,Amsterdam University of Applied Sciences,https://www.amsterdamuas.com/education/exchange/exchange-programmes/information-technology/information-technology.html,유럽,네덜란드,Semester,2,Computer Science and Information Technology,1년 or 한 학기,제한없음,예,3.0,4.0,75,6.0,-,knowledge of object oriented programming,-,Computer Science and Information Technology만 가능,불가,O,https://www.amsterdamuas.com/education/exchange/exchange-programmes/information-technology/information-technology.html,-,X,O,-,750,2022-03-31,2022-04-15
7,Fontys University of Applied Sciences,https://fontys.edu/Study-at-Fontys/Practical-information-1/Arriving-in-The-Netherlands-1.htm,유럽,네덜란드,Semester,3,this refers to the Fontys Wide agreement,1년 or 한 학기,제한없음,예,2.5,4.0,77 (might differ by program),6.0 (might differ by program),-,-,-,-,가능,O,https://fontys.edu/Short-term-programmes/Exchange-programmes.htm,"depends on the program, the requirements might differ",X,O,-,1245,2022-05-01,2022-05-15
8,Hanze University of Applied Sciences Groningen,www.hanze.nl/housing,유럽,네덜란드,Semester,4,"You can send 2 semester students or 1 full year student per School: School for Business Marketing and Finance / School of Communication, Media & IT / School of Business Management / Institute of Engineering / School of Law / International Business School / School of Sport Studies",1년 or 한 학기,제한없음,예,2.5,4.5,75,6.0,-,-,-,-,가능,O,www.hanze.nl/exchange,We only offered fixed programmes. It is not possible to mix and match courses from other programmes.,X,O,-,400,2022-05-15,2022-06-01
9,The Hague University of Applied Sciences,https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes/the-thuas-exchange-experience,유럽,네덜란드,Semester,1,"Faculty of Business, Finance and Marketing만 가능",1년 or 한 학기,제한없음,예,2.5,4.5,80,6,-,-,-,"Faculty of Business, Finance and Marketing만 가능",불가,O,https://www.thehagueuniversity.com/programmes/other-courses/exchangeprogrammes/what-can-i-study,Students have to select courses offered by the programme their home institution has an agreement with.,X,X,"Students are responsible to arrange accommodation themselves, and are free to make their own arrangements. The Hague University cooperates with a number of different housing

partners. For this, the student is asked to pay a housing fee of €275,-. More information can be found on: https://www.thehagueuniversity.com/practical-matters/international-studentservices/international-office/housing",€871~1100/month,2022-04-30,2022-05-31
10,The Hague University of Applied Sciences,https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes/the-thuas-exchange-experience,유럽,네덜란드,Semester,1,"Faculty of Technology, Innovation & Society만 지원가능",1년 or 한 학기,제한없음,예,2.5,4.5,80,6,-,-,-,"Faculty of Technology, Innovation & Society만 가능",불가,O,https://www.thehagueuniversity.com/programmes/other-courses/exchangeprogrammes/what-can-i-study,Students have to select courses offered by the programme their home institution has an agreement with.,X,X,"Students are responsible to arrange accommodation themselves, and are free to make their own arrangements. The Hague University cooperates with a number of different housing

partners. For this, the student is asked to pay a housing fee of €275,-. More information can be found on: https://www.thehagueuniversity.com/practical-matters/international-studentservices/international-office/housing",€871~1100/month,2022-04-30,2022-05-31
