hdi-rank,group,label,gii-value,gii-rank,gii-parliament,population,life-expectancy,health-expend,edu-secondary,edu-tertiary,gdp-total,gdp-capita,price-index,labor-rate,unemployment,homicide,suicide-female,suicide-male,trade,foreign-invest,intl-student,intl-tourist,fossil-fuel,co2-gdp
1,Countries,Norway,0.045,6,40.828,5.379,70.837,10.446,94.921,81.992,340.303,"63,633.102",120.270,63.804,3.346,0.468,6.5,13.6,72.147,0.445,-3.079,"5,688",56.952,0.109
2,Countries,Ireland,0.093,23,24.312,4.882,70.352,7.184,81.120,77.781,428.825,"86,781.390",106.584,62.067,4.928,0.872,4.2,17.6,239.215,-20.393,2.240,"10,926",85.343,0.112
2,Countries,Switzerland,0.025,1,38.618,8.591,72.024,12.346,96.149,59.563,588.472,"68,627.829",99.547,68.253,4.581,0.586,6.9,15.8,119.439,-2.615,12.985,"10,362",50.168,0.080
4,Countries,"Hong Kong, China (SAR)",,,,7.436,,,79.400,76.922,449.640,"59,892.866",134.593,60.073,3.629,0.651,,,352.822,14.526,-0.697,"29,263",93.173,0.108
4,Countries,Iceland,0.058,9,38.095,0.339,72.315,8.326,100.000,71.845,20.188,"55,873.951",129.003,75.033,2.842,0.891,4.7,21.7,85.917,-1.801,-7.831,"2,344",11.289,0.135
6,Countries,Germany,0.084,20,31.620,83.517,69.720,11.247,96.088,70.247,"4,473.822","53,815.365",112.855,60.811,3.043,0.948,4.8,13.6,88.099,1.326,4.421,"38,881",78.863,0.197
7,Countries,Sweden,0.039,3,47.278,10.036,71.389,11.019,89.302,66.988,547.238,"53,205.056",110.509,64.562,6.476,1.083,7.4,15.8,90.486,4.557,2.854,"7,440",25.117,0.083
8,Countries,Australia,0.097,25,36.564,25.203,70.305,9.206,90.985,113.142,"1,262.034","49,756.307",119.797,65.518,5.268,0.892,6.0,17.4,45.686,2.772,20.718,"9,246",89.626,0.337
8,Countries,Netherlands,0.043,4,33.778,17.097,70.623,10.101,88.921,84.980,990.423,"57,141.370",115.908,63.620,3.196,0.586,6.4,12.9,154.322,3.086,8.893,"18,780",93.461,0.191
10,Countries,Denmark,0.038,2,39.106,5.772,69.923,10.108,90.949,80.616,332.729,"57,184.193",110.347,62.218,4.913,1.008,5.2,13.2,105.002,-1.859,9.056,"12,749",64.927,0.117
