country,hdi-rank,gii-value,gii-rank,gii-parliament,population,life-expectancy,health-expend,edu-secondary,edu-tertiary,gdp-total,gdp-capita,price-index,labor-rate,unemployment,homicide,suicide-female,suicide-male,trade,foreign-invest,intl-student,intl-tourist,fossil-fuel,co2-gdp
Australia,8.0,0.097,25.0,36.564,25.203,70.305,9.206,90.985,113.142,"1,262.034","49,756.307",119.797,65.518,5.268,0.892,6.0,17.4,45.686,2.772,20.718,"9,246",89.626,0.337
Austria,18.0,0.069,14.0,38.525,8.955,70.604,10.397,99.967,85.057,500.244,"56,352.445",118.058,60.684,4.674,0.967,5.7,17.5,107.725,2.939,12.732,"30,816",65.662,0.167
Belgium,14.0,0.043,4.0,43.333,11.539,69.719,10.339,86.596,79.662,593.815,"51,707.792",117.110,53.562,5.589,1.69,9.4,22.2,163.293,-5.386,5.693,"9,119",75.871,0.19
Brazil,84.0,0.408,95.0,14.983,211.050,65.199,9.467,60.372,51.344,"3,092.217","14,651.616",167.398,63.884,12.083,27.383,2.8,9.7,28.977,4.27,-0.445,"6,621",59.108,0.148
Brunei,47.0,0.255,60.0,9.091,0.433,65.262,2.373,70.203,31.393,26.907,"62,099.588",99.027,64.678,9.117,0.495,2.8,6.2,108.51,2.771,-24.834,278,99.995,0.222
Canada,16.0,0.08,19.0,33.183,37.411,70.449,10.573,100.0,68.923,"1,843.053","49,031.380",116.757,65.071,5.564,1.756,5.8,15.1,64.977,2.584,9.879,"21,134",74.089,0.347
Denmark,10.0,0.038,2.0,39.106,5.772,69.923,10.108,90.949,80.616,332.729,"57,184.193",110.347,62.218,4.913,1.008,5.2,13.2,105.002,-1.859,9.056,"12,749",64.927,0.117
Ecuador,86.0,0.384,86.0,37.956,17.374,66.737,8.257,53.007,44.892,197.631,"11,375.331",124.143,68.038,3.968,5.801,3.8,10.7,46.74,0.899,-1.808,"2,535",86.885,0.2
Finland,11.0,0.047,7.0,47.0,5.532,70.337,9.207,100.0,88.198,268.404,"48,621.089",112.332,59.081,6.595,1.63,6.8,20.8,79.467,3.081,4.49,"3,224",40.208,0.194
France,26.0,0.049,8.0,36.865,65.130,71.502,11.313,84.021,65.629,"3,097.062","46,183.522",110.049,55.126,8.427,1.199,6.5,17.9,64.523,2.471,6.672,"89,322",46.488,0.121
Germany,6.0,0.084,20.0,31.62,83.517,69.72,11.247,96.088,70.247,"4,473.822","53,815.365",112.855,60.811,3.043,0.948,4.8,13.6,88.099,1.326,4.421,"38,881",78.863,0.197
Hong Kong,4.0,,,,7.436,,,79.4,76.922,449.640,"59,892.866",134.593,60.073,3.629,0.651,,,352.822,14.526,-0.697,"29,263",93.173,0.108
Indonesia,107.0,0.48,121.0,17.391,270.626,62.551,2.989,50.914,36.311,"3,196.683","11,812.198",151.177,67.496,4.687,0.435,2.2,5.2,37.303,2.196,-0.501,"15,810",66.089,0.172
Italy,29.0,0.069,14.0,35.263,60.550,71.238,8.84,79.727,61.933,"2,557.373","42,412.665",110.624,49.555,9.887,0.569,2.6,8.4,60.139,1.46,1.268,"61,567",79.948,0.155
Kuwait,64.0,0.242,53.0,4.615,4.207,70.251,5.291,51.527,54.364,209.707,"49,846.144",126.602,73.493,2.182,,1.7,2.5,100.488,-0.015,,"8,508",93.69,0.337
Lithuania,34.0,0.124,34.0,21.277,2.760,66.563,6.458,95.886,72.417,103.043,"36,974.946",118.382,61.618,6.352,4.569,6.7,47.5,150.581,2.496,-3.646,"2,825",67.994,0.135
Luxembourg,23.0,0.065,12.0,25.0,0.616,70.993,5.481,100.0,19.152,70.967,"114,481.534",115.088,59.327,5.363,0.338,5.8,15.0,381.517,-7.917,-109.337,"1,018",80.562,0.167
Malaysia,62.0,0.253,59.0,15.517,31.950,65.651,3.859,74.725,45.125,905.795,"28,350.590",121.463,64.289,3.324,2.128,3.6,8.7,123.091,2.39,3.004,"25,832",96.628,0.254
Netherlands,8.0,0.043,4.0,33.778,17.097,70.623,10.101,88.921,84.98,990.423,"57,141.370",115.908,63.62,3.196,0.586,6.4,12.9,154.322,3.086,8.893,"18,780",93.461,0.191
Singapore,11.0,0.065,12.0,23.0,5.804,74.481,4.44,81.424,84.793,555.194,"97,341.469",114.406,70.538,4.109,0.156,4.9,11.1,319.148,28.346,10.509,"14,673",90.579,0.101
Spain,25.0,0.07,16.0,41.857,46.737,71.598,8.873,77.722,88.853,"1,924.655","40,883.325",110.962,57.492,13.959,0.621,3.1,9.3,66.917,1.325,1.172,"82,773",72.956,0.162
Sweden,7.0,0.039,3.0,47.278,10.036,71.389,11.019,89.302,66.988,547.238,"53,205.056",110.509,64.562,6.476,1.083,7.4,15.8,90.486,4.557,2.854,"7,440",25.117,0.083
Swiss,2.0,0.025,1.0,38.618,8.591,72.024,12.346,96.149,59.563,588.472,"68,627.829",99.547,68.253,4.581,0.586,6.9,15.8,119.439,-2.615,12.985,"10,362",50.168,0.08
Turkey,54.0,0.306,68.0,17.45,83.430,67.814,4.216,60.346,,"2,349.995","28,167.397",234.437,52.829,13.49,2.59,3.2,11.3,61.395,1.117,0.859,"45,768",86.843,0.192
UK,13.0,0.118,31.0,28.909,67.530,69.109,9.632,78.799,59.996,"3,121.120","46,699.302",119.623,62.774,3.851,1.205,3.5,11.9,64.254,0.956,16.468,"36,316",80.352,0.138
Ukraine,74.0,0.234,52.0,20.519,43.994,64.622,6.995,94.597,82.671,538.388,"12,810.289",281.659,54.151,8.882,6.184,4.7,34.5,90.174,1.979,-1.492,"14,104",75.35,0.52
United Arab Emirates,31.0,0.079,18.0,50.0,9.771,64.379,3.334,78.918,,655.789,"67,119.133",114.525,82.094,2.348,0.464,0.8,3.5,160.936,2.46,27.742,"21,286",86.128,0.317
United States of America,17.0,0.204,46.0,23.729,329.065,65.432,17.061,96.029,88.167,"20,574.972","62,682.800",117.244,62.049,3.682,4.957,6.4,21.1,26.389,1.454,4.724,"79,746",82.428,0.274
