sequence,name,region,country,city,official-link,established,student-number,faculty-number,campus-size,map-iframe,tot-rank,tot-score,tot-international-students-ratio,tot-international-faculty-ratio,tot-faculty-student ratio,tot-citations-per-faculty,tot-academic-reputation,tot-employer-reputation,cse-rank,cse-overall-score,cse-h-index-citations,cse-citations-per paper,cse-academic-reputation,cse-employer-reputation,hum-rank,hum-overall-score,hum-h-index-citations,hum-citations-per-paper,hum-academic-reputation,hum-employer-reputation
1,GE3(Global Engineering Education Exchange),Others,,,https://globale3.studioabroad.com,,,,,,,,,,,,,,,,,,,,,,,,,
2,ISEP(International Student Exchange Programs),Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,University of Twente,Europe,Netherlands,Enschede,http://www.utwente.nl/,1961.0,12544.0,3150.0,146.0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2443.2053422410636!2d6.84978999999999!3d52.23965380000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47b813d992e2ab01%3A0x790b33d6b663608f!2sUniversity%20of%20Twente!5e0!3m2!1sko!2skr!4v1644287470712!5m2!1sko!2skr,=189,45.5,89.1,98.8,37.1,79.3,21,42.3,151-200,,,,,,151-200,,,,,
4,Amsterdam University of Applied Sciences,Europe,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Amsterdam University of Applied Sciences,Europe,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Amsterdam University of Applied Sciences,Europe,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fontys University of Applied Sciences,Europe,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Hanze University of Applied Sciences Groningen,Europe,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,The Hague University of Applied Sciences,Europe,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,The Hague University of Applied Sciences,Europe,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,VIA University College,Europe,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Esslingen University of Applied Sciences,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,European University of Applied Sciences,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,European University Viadrina,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Frankfurt School of Finance & Management,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,International School of Management,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Karlshochschule International University,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Konstanz University of Applied Sciences,Europe,Germany,Konstanz,https://www.htwg-konstanz.de/,1906.0,3345.0,350.0,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2686.8558898570745!2d9.171618200000001!3d47.667795899999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x41087a199ac31a65%3A0x54038eaf78431d1a!2sUniversity%20of%20Technology%2C%20Business%20and%20Design%20Konstanz!5e0!3m2!1sko!2skr!4v1644287590080!5m2!1sko!2skr,,,,,,,,,,,,,,,,,,,,
19,University of Applied Sciences Neu-Ulm ,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pforzheim University,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Reutlingen University,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,The University of Bamberg,Europe,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,University of Konstanz,Europe,Germany,Konstanz,http://www.uni-konstanz.de/,1966.0,12433.0,1917.0,9.0,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2685.7367301991403!2d9.186840100000001!3d47.6895326!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x479af7c99232e7ed%3A0x9472a3fd1dfc8998!2z7L2Y7Iqk7YOE7LigIOuMgO2Vmeq1kA!5e0!3m2!1sko!2skr!4v1644287639825!5m2!1sko!2skr,501-510,-,17.2,61.4,32,18.1,22.4,5.8,601-650,,,,,,601-650,,,,,
24,University of Luxembourg,Europe,Luxembourg,,,,,,,,,,,,,,,,251-300,,82.7,88,,,251-300,,82.7,88,,
25,Kaunas University of Technology,Europe,Lithuania,,,,,,,,801-1000,-,11.2,1.4,32.8,5.4,11.3,16.3,,,,,,,,,,,,
26,Vilnius Gediminas Technical University,Europe,Lithuania,,,,,,,,,,,,,,,,501-550,,,,,,501-550,,,,,
44,University of Liege,Europe,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Linkoping University,Europe,Sweden,,,,,,,,329,32.5,26.5,53.6,29.8,57.8,20.1,27.9,201-250,,82.2,91.1,,,201-250,,82.2,91.1,,
48,University of Lausanne,Europe,Swiss,,,,,,,,176,46.6,61.7,99.8,52.4,63.9,32.8,19,,,,,,,,,,,,
