sequence,name,region,country,city,official-link,established,student-number,faculty-number,campus-size,map-iframe
1,GE3(Global Engineering Education Exchange),Others,,,https://globale3.studioabroad.com,,,,,
2,ISEP(International Student Exchange Programs),Others,,,,,,,,
3,University of Twente,Europe,Netherlands,Enschede,http://www.utwente.nl/,1961,12544,3150,146,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2443.2053422410636!2d6.84978999999999!3d52.23965380000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x47b813d992e2ab01%3A0x790b33d6b663608f!2sUniversity%20of%20Twente!5e0!3m2!1sko!2skr!4v1644287470712!5m2!1sko!2skr
4,Amsterdam University of Applied Sciences,Europe,Netherlands,,,,,,,
5,Amsterdam University of Applied Sciences,Europe,Netherlands,,,,,,,
6,Amsterdam University of Applied Sciences,Europe,Netherlands,,,,,,,
7,Fontys University of Applied Sciences,Europe,Netherlands,,,,,,,
8,Hanze University of Applied Sciences Groningen,Europe,Netherlands,,,,,,,
9,The Hague University of Applied Sciences,Europe,Netherlands,,,,,,,
10,The Hague University of Applied Sciences,Europe,Netherlands,,,,,,,
11,VIA University College,Europe,Denmark,,,,,,,
12,Esslingen University of Applied Sciences,Europe,Germany,,,,,,,
13,European University of Applied Sciences,Europe,Germany,,,,,,,
14,European University Viadrina,Europe,Germany,,,,,,,
15,Frankfurt School of Finance & Management,Europe,Germany,,,,,,,
16,International School of Management,Europe,Germany,,,,,,,
17,Karlshochschule International University,Europe,Germany,,,,,,,
18,Konstanz University of Applied Sciences,Europe,Germany,Konstanz,https://www.htwg-konstanz.de/,1906,3345,350,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2686.8558898570745!2d9.171618200000001!3d47.667795899999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x41087a199ac31a65%3A0x54038eaf78431d1a!2sUniversity%20of%20Technology%2C%20Business%20and%20Design%20Konstanz!5e0!3m2!1sko!2skr!4v1644287590080!5m2!1sko!2skr
19,University of Applied Sciences Neu-Ulm ,Europe,Germany,,,,,,,
20,Pforzheim University,Europe,Germany,,,,,,,
21,Reutlingen University,Europe,Germany,,,,,,,
22,The University of Bamberg,Europe,Germany,,,,,,,
23,University of Konstanz,Europe,Germany,Konstanz,http://www.uni-konstanz.de/,1966,12433,1917,9,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2685.7367301991403!2d9.186840100000001!3d47.6895326!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x479af7c99232e7ed%3A0x9472a3fd1dfc8998!2z7L2Y7Iqk7YOE7LigIOuMgO2Vmeq1kA!5e0!3m2!1sko!2skr!4v1644287639825!5m2!1sko!2skr
24,University of Luxembourg,Europe,Luxembourg,,,,,,,
25,Kaunas University of Technology,Europe,Lithuania,,,,,,,
26,Vilnius Gediminas Technical University,Europe,Lithuania,,,,,,,
44,University of Liege,Europe,Belgium,,,,,,,
47,Linkoping University,Europe,Sweden,,,,,,,
48,University of Lausanne,Europe,Swiss,,,,,,,
49,University of St. Gallen,Europe,Swiss,,,,,,,
50,Zurich University of Applied Sciences,Europe,Swiss,,,,,,,
51,Polytechnic University of Catalonia,Europe,Spain,,,,,,,
52,Universidad Autonoma de Madrid,Europe,Spain,,,,,,,
53,Universidad Catolica de Valencia 'San Vicente Martir',Europe,Spain,,,,,,,
54,University of Lleida,Europe,Spain,,,,,,,
59,The University of Sheffield,Europe,UK,,,,,,,
60,The University of Leeds,Europe,UK,,,,,,,
61,MCI Management Center Innsbruck,Europe,Austria,,,,,,,
62,Kyiv National Linguistic University,Europe,Ukraine,,,,,,,
63,University of Genoa,Europe,Italy,,,,,,,
64,Polytechnic University of Milan,Europe,Italy,,,,,,,
71,Hacettepe University,Europe,Turkey,,,,,,,
72,Sabanci University,Europe,Turkey,,,,,,,
73,Audencia Business School,Europe,France,,,,,,,
74,CentraleSupelec,Europe,France,,,,,,,
75,EDHEC Business School,Europe,France,,,,,,,
76,ISC Paris,Europe,France,,,,,,,
77,KEDGE Business School,Europe,France,,,,,,,
78,Rennes School of Business,Europe,France,,,,,,,
79,University Paris 8,Europe,France,,,,,,,
80,Hanken School of Economics,Europe,Finland,,,,,,,
27,University of Malaya,Asia,Malaysia,,,,,,,
46,Universiti Brunei Darussalam,Asia,Brunei,,,,,,,
55,Nanyang Technological University,Asia,Singapore,,https://www.ntu.edu.sg/,1981,8383,31687,200,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.713638376386!2d103.68094601744389!3d1.348309900000004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x31da0f0a99014463%3A0xb8bb0800c52d8219!2z64Kc7JaR6riw7Iig64yA7ZWZ6rWQ!5e0!3m2!1sko!2skr!4v1644287551987!5m2!1sko!2skr
56,Singapore University of Technology and Design,Asia,Singapore,,,,,,,
65,Telkom University,Asia,Indonesia,,,,,,,
